NatureID||Nature||Code||Libelle||Etat||DateCreation
135|261220 Participations minoritaires avec minorit, de blocage|261220|Participations minoritaires avec minorit, de blocage|NULL|NULL
136|261230 Participations minoritaires sans minorit, de blocage|261230|Participations minoritaires sans minorit, de blocage|NULL|NULL
137|261310 Participations majoritaires|261310|Participations majoritaires|NULL|NULL
138|261320 Participations minoritaires avec minorit, de blocage|261320|Participations minoritaires avec minorit, de blocage|NULL|NULL
139|261330 Participations minoritaires sans minorit, de blocage|261330|Participations minoritaires sans minorit, de blocage|NULL|NULL
140|261340 Titres de placement|261340|Titres de placement|NULL|NULL
141|261910 Prises de participations,  p/cpte d'entreprises publiques nles|261910|Prises de participations,  p/cpte d'entreprises publiques nles|NULL|NULL
142|261920 Prises de participations,  p/cpte d'institutions financiSres nles|261920|Prises de participations,  p/cpte d'institutions financiSres nles|NULL|NULL
143|261930 Prises de participations,  p/cpte d'autres secteurs de l',conomie|261930|Prises de participations,  p/cpte d'autres secteurs de l',conomie|NULL|NULL
144|261940 Prises de participations,  pour le compte de tiers ext,rieurs|261940|Prises de participations,  pour le compte de tiers ext,rieurs|NULL|NULL
145|261990 Autres prises de participations,  pour le compte de tiers|261990|Autres prises de participations,  pour le compte de tiers|NULL|NULL
146|264100 D,p"ts et cautionnements-loyer d'avance|264100|D,p"ts et cautionnements-loyer d'avance|NULL|NULL
147|264200 D,p"ts et cautionnements-gaz|264200|D,p"ts et cautionnements-gaz|NULL|NULL
148|264300 D,p"ts et cautionnements-,lectricit,|264300|D,p"ts et cautionnements-,lectricit,|NULL|NULL
149|264400 D,p"ts et cautionnements-gaz|264400|D,p"ts et cautionnements-gaz|NULL|NULL
150|264500 D,p"ts et cautionnements-t,l,phone|264500|D,p"ts et cautionnements-t,l,phone|NULL|NULL
151|264600 D,p"ts et cautionnements-t,lex|264600|D,p"ts et cautionnements-t,lex|NULL|NULL
152|264700 D,p"ts et cautionnements-Ensemble de gestion|264700|D,p"ts et cautionnements-Ensemble de gestion|NULL|NULL
153|264900 Autres d,p"ts et cautionnement|264900|Autres d,p"ts et cautionnement|NULL|NULL
154|271100 Avances aux Soci,t,s d'Etat|271100|Avances aux Soci,t,s d'Etat|NULL|NULL
155|271200 Avances aux Soci,t,s d'Economie Mixte|271200|Avances aux Soci,t,s d'Economie Mixte|NULL|NULL
156|271300 Avances aux institutions financiSres|271300|Avances aux institutions financiSres|NULL|NULL
157|271400 Avances aux entreprises priv,es non financiSres|271400|Avances aux entreprises priv,es non financiSres|NULL|NULL
158|271500 Avances au personnel pour achats de logements|271500|Avances au personnel pour achats de logements|NULL|NULL
159|271600 Avances au personnel pour achats de v,hicules|271600|Avances au personnel pour achats de v,hicules|NULL|NULL
160|271700 Avances . l',tranger|271700|Avances . l',tranger|NULL|NULL
161|271900 Autres avances|271900|Autres avances|NULL|NULL
162|273100 Pr^ts aux Soci,t,s d'Etat|273100|Pr^ts aux Soci,t,s d'Etat|NULL|NULL
163|273200 Pr^ts aux Soci,t,s d'Economie Mixte|273200|Pr^ts aux Soci,t,s d'Economie Mixte|NULL|NULL
164|274100 Pr^ts aux institutions financiSres . l'int,rieur|274100|Pr^ts aux institutions financiSres . l'int,rieur|NULL|NULL
165|274200 Pr^ts aux institutions financiSres . l'ext,rieur|274200|Pr^ts aux institutions financiSres . l'ext,rieur|NULL|NULL
166|275100 Pr^ts aux entreprises priv,es non financiSres|275100|Pr^ts aux entreprises priv,es non financiSres|NULL|NULL
167|275200 Pr^ts au personnel pour achat de logement|275200|Pr^ts au personnel pour achat de logement|NULL|NULL
168|275300 Pr^ts au personnel pour achat de v,hicules|275300|Pr^ts au personnel pour achat de v,hicules|NULL|NULL
169|275400 Autres pr^ts au personnel|275400|Autres pr^ts au personnel|NULL|NULL
170|275900 Autres pr^ts int,rieurs|275900|Autres pr^ts int,rieurs|NULL|NULL
171|276000 Pr^ts . l',tranger|276000|Pr^ts . l',tranger|NULL|NULL
172|277100 Pr^ts r,troc,d,s - versements aux administrations publiques nationales|277100|Pr^ts r,troc,d,s - versements aux administrations publiques nationales|NULL|NULL
173|277200 Pr^ts r,troc,d,s - versements aux entreprises publiques non financiSres nationales|277200|Pr^ts r,troc,d,s - versements aux entreprises publiques non financiSres nationales|NULL|NULL
174|277300 Pr^ts r,troc,d,s - versements aux institutions financiSres nationales|277300|Pr^ts r,troc,d,s - versements aux institutions financiSres nationales|NULL|NULL
175|277400 Pr^ts r,troc,d,s - versements . d'autres secteurs de l',conomie|277400|Pr^ts r,troc,d,s - versements . d'autres secteurs de l',conomie|NULL|NULL
176|277500 Pr^ts r,troc,d,s - versements . l',tranger|277500|Pr^ts r,troc,d,s - versements . l',tranger|NULL|NULL
177|277600 Pr^ts sur dette avalis,e int,rieure|277600|Pr^ts sur dette avalis,e int,rieure|NULL|NULL
178|278100 Avances- Ech,ances Impay,es|278100|Avances- Ech,ances Impay,es|NULL|NULL
179|278200 Pr^ts . d'autres administrations publiques. Ech,ances Impay,es|278200|Pr^ts . d'autres administrations publiques. Ech,ances Impay,es|NULL|NULL
180|278300 Pr^ts aux entreprises publiques et semi publiques non financiSres. Impay,es|278300|Pr^ts aux entreprises publiques et semi publiques non financiSres. Impay,es|NULL|NULL
181|278400 Pr^ts aux institutions. Ech,ances Impay,es|278400|Pr^ts aux institutions. Ech,ances Impay,es|NULL|NULL
182|278500 Autres Pr^ts Int,rieurs. Ech,ances Impay,es|278500|Autres Pr^ts Int,rieurs. Ech,ances Impay,es|NULL|NULL
183|278600 Pr^ts . l',tranger. Ech,ances Impay,es|278600|Pr^ts . l',tranger. Ech,ances Impay,es|NULL|NULL
184|278700 Pr^ts retroc,d,s. Ech,ances Impay,es|278700|Pr^ts retroc,d,s. Ech,ances Impay,es|NULL|NULL
185|279000 Autres pr^ts et avances|279000|Autres pr^ts et avances|NULL|NULL
186|281100 Amortissements des frais de recherche et de d,veloppement|281100|Amortissements des frais de recherche et de d,veloppement|NULL|NULL
187|281200 Amortissements des brevets, marques de fabrique, droits d'auteur|281200|Amortissements des brevets, marques de fabrique, droits d'auteur|NULL|NULL
188|281300 Amortissements de la conception de systSmes d'organisation et des progiciels|281300|Amortissements de la conception de systSmes d'organisation et des progiciels|NULL|NULL
189|281400 Amortissements des droits d'exploitation- Fonds de commerce|281400|Amortissements des droits d'exploitation- Fonds de commerce|NULL|NULL
190|281800 Amortissements des immobilisations incorporelles pour le compte de tiers-acquisitions et travaux|281800|Amortissements des immobilisations incorporelles pour le compte de tiers-acquisitions et travaux|NULL|NULL
191|281900 Amortissements des autres droits et valeurs incorporels|281900|Amortissements des autres droits et valeurs incorporels|NULL|NULL
192|282100 Acquisitions et am,nagements des sols et sous- sols|282100|Acquisitions et am,nagements des sols et sous- sols|NULL|NULL
193|282300 Acquisitions, constructions et grosses r,parations des immeubles|282300|Acquisitions, constructions et grosses r,parations des immeubles|NULL|NULL
194|282400 Acquisitions et grosses r,parations du mat,riel et mobilier|282400|Acquisitions et grosses r,parations du mat,riel et mobilier|NULL|NULL
195|282500 Equipements militaires|282500|Equipements militaires|NULL|NULL
196|282600 Prises de participation et cautionnements|282600|Prises de participation et cautionnements|NULL|NULL
197|282700 Pr^ts et avances|282700|Pr^ts et avances|NULL|NULL
198|291200 Provisions pour d,pr,ciation des brevets, marques de fabrique, droits d'auteur|291200|Provisions pour d,pr,ciation des brevets, marques de fabrique, droits d'auteur|NULL|NULL
199|291300 Provisions pour d,pr,ciation de la conception de systSmes d'organisation et des progiciels|291300|Provisions pour d,pr,ciation de la conception de systSmes d'organisation et des progiciels|NULL|NULL
200|291400 Provisions pour d,pr,ciation des droits d'exploitation- Fonds de commerce|291400|Provisions pour d,pr,ciation des droits d'exploitation- Fonds de commerce|NULL|NULL
201|291800 Provisions pour d,pr,ciation des immobilisations incorporelles pour le compte de tiers-acquisitions et travaux|291800|Provisions pour d,pr,ciation des immobilisations incorporelles pour le compte de tiers-acquisitions et travaux|NULL|NULL
202|291900 Provisions pour d,pr,ciation des autres droits et valeurs incorporels|291900|Provisions pour d,pr,ciation des autres droits et valeurs incorporels|NULL|NULL
203|292200 Provisions pour d,pr,ciation des acquisitions et am,nagements des sols et sous- sols|292200|Provisions pour d,pr,ciation des acquisitions et am,nagements des sols et sous- sols|NULL|NULL
204|292300 Provisions pour d,pr,ciation acquisitions, constructions et grosses r,parations des immeubles|292300|Provisions pour d,pr,ciation acquisitions, constructions et grosses r,parations des immeubles|NULL|NULL
205|292400 Provisions pour d,pr,ciation des acquisitions et grosses r,parations du mat,riel et mobilier|292400|Provisions pour d,pr,ciation des acquisitions et grosses r,parations du mat,riel et mobilier|NULL|NULL
206|292500 Provisions pour d,pr,ciation des ,quipements militaires|292500|Provisions pour d,pr,ciation des ,quipements militaires|NULL|NULL
207|292600 Provisions pour d,pr,ciation des prises de participation et cautionnements|292600|Provisions pour d,pr,ciation des prises de participation et cautionnements|NULL|NULL
208|292700 Provisions pour d,pr,ciation des pr^ts et avances|292700|Provisions pour d,pr,ciation des pr^ts et avances|NULL|NULL
209|601100 Achats de petits mat,riels, fournitures de bureau et documentation |NULL|Achats de petits mat,riels, fournitures de bureau et documentation |NULL|NULL
210|601200 Achats de carburants et lubrifiants|NULL|Achats de carburants et lubrifiants|NULL|NULL
211|601300 Achats de carburants et lubrifiants pour les avions, navires et autres v,hicules sp,ciaux |NULL|Achats de carburants et lubrifiants pour les avions, navires et autres v,hicules sp,ciaux |NULL|NULL
212|601400 Achats de fournitures et consommables pour le mat,riel informatique |NULL|Achats de fournitures et consommables pour le mat,riel informatique |NULL|NULL
213|601510 Achats de matiSres premiSres|NULL|Achats de matiSres premiSres|NULL|NULL
214|601520 Achats de matiSres consommables|NULL|Achats de matiSres consommables|NULL|NULL
215|601530 Achats d'emballages commerciaux|NULL|Achats d'emballages commerciaux|NULL|NULL
216|601590 Autres achats de petits mat,riels et fournitures techniques |NULL|Autres achats de petits mat,riels et fournitures techniques |NULL|NULL
217|601600 Achats d'alimentation (non destin,s au personnel) |NULL|Achats d'alimentation (non destin,s au personnel) |NULL|NULL
218|601700 Achats d'habillement (hors personnel) |NULL|Achats d'habillement (hors personnel) |NULL|NULL
219|601800 Achats de produits pharmaceutiques, m,dicaux et v,t,rinaires |NULL|Achats de produits pharmaceutiques, m,dicaux et v,t,rinaires |NULL|NULL
220|601910 Fournitures d'hygiSne et de sant,|NULL|Fournitures d'hygiSne et de sant,|NULL|NULL
221|601990 Autres achats de fournitures |NULL|Autres achats de fournitures |NULL|NULL
222|603100 Variations  de stocks de marchandises|NULL|Variations  de stocks de marchandises|NULL|NULL
223|603200 Variations  de stocks de matiSres premiSres|NULL|Variations  de stocks de matiSres premiSres|NULL|NULL
224|603310 MatiSres consommables|NULL|MatiSres consommables|NULL|NULL
225|603320 Carburant et lubrifiants|NULL|Carburant et lubrifiants|NULL|NULL
226|603330 Fournitures de bureau|NULL|Fournitures de bureau|NULL|NULL
227|603400 Variations  de stocks des produits et services en cours|NULL|Variations  de stocks des produits et services en cours|NULL|NULL
228|603500 Variations  de stocks des produits finis|NULL|Variations  de stocks des produits finis|NULL|NULL
229|605100 Branchements et raccordement des compteurs |NULL|Branchements et raccordement des compteurs |NULL|NULL
230|605200 Abonnements et consommation d'eau |NULL|Abonnements et consommation d'eau |NULL|NULL
231|605300 Abonnements et consommation d',lectricit, |NULL|Abonnements et consommation d',lectricit, |NULL|NULL
232|605400 Abonnements et consommation de gaz |NULL|Abonnements et consommation de gaz |NULL|NULL
233|605900 Autres sources d',nergie |NULL|Autres sources d',nergie |NULL|NULL
234|609100 Achats de marchandises|NULL|Achats de marchandises|NULL|NULL
235|609200 Frets et transports sur achats|NULL|Frets et transports sur achats|NULL|NULL
236|609900 Autres achats de biens|NULL|Autres achats de biens|NULL|NULL
237|611100 Frais de transport des agents en mission . l'int,rieur |NULL|Frais de transport des agents en mission . l'int,rieur |NULL|NULL
238|611200 Indemnit,s de mission . l'int,rieur |NULL|Indemnit,s de mission . l'int,rieur |NULL|NULL
239|611300 Frais de transport des agents en mission . l',tranger |NULL|Frais de transport des agents en mission . l',tranger |NULL|NULL
240|611400 Indemnit,s de mission . l',tranger |NULL|Indemnit,s de mission . l',tranger |NULL|NULL
241|611500 Frais de transport des missionnaires non agents de l'Etat |NULL|Frais de transport des missionnaires non agents de l'Etat |NULL|NULL
242|611600 Indemnit,s de mission des missionnaires non agents de l'Etat|NULL|Indemnit,s de mission des missionnaires non agents de l'Etat|NULL|NULL
243|611700 Frais de transports des ,tudiants |NULL|Frais de transports des ,tudiants |NULL|NULL
244|611100 Frais de voyage des coop,rants et autres expatri,s |NULL|Frais de voyage des coop,rants et autres expatri,s |NULL|NULL
245|611900 Autres frais de transport et de mission |NULL|Autres frais de transport et de mission |NULL|NULL
246|611910 Transports de personnes (sauf personnel)|NULL|Transports de personnes (sauf personnel)|NULL|NULL
247|611920 Transports et frets sur ventes|NULL|Transports et frets sur ventes|NULL|NULL
248|611990 Loyers et charges locatives|NULL|Loyers et charges locatives|NULL|NULL
249|612100 Loyers et charges locatives des locaux (hors logements de personnel) |612100|Loyers et charges locatives des locaux (hors logements de personnel) |NULL|NULL
250|612200 Loyers avec option d'achat|612200|Loyers avec option d'achat|NULL|NULL
251|612300 Location machines et mat,riel technique |612300|Location machines et mat,riel technique |NULL|NULL
252|612400 Locations de mat,riel informatique |612400|Locations de mat,riel informatique |NULL|NULL
253|612500 Location centraux t,l,phoniques, t,l,phones, t,l,copieurs et mat,riels de t,l,communication |612500|Location centraux t,l,phoniques, t,l,phones, t,l,copieurs et mat,riels de t,l,communication |NULL|NULL
254|612700 Locations de v,hicules |612700|Locations de v,hicules |NULL|NULL
255|612900 Autres locations |612900|Autres locations |NULL|NULL
256|614110 Entretien des locaux|614110|Entretien des locaux|NULL|NULL
257|614120 Produits d'entretien|614120|Produits d'entretien|NULL|NULL
258|614130 Mat,riaux de construction pour usage interne|614130|Mat,riaux de construction pour usage interne|NULL|NULL
259|614140 Entretien et r,parations des bŸtiments|614140|Entretien et r,parations des bŸtiments|NULL|NULL
260|614150 Entretien des espaces verts et autres sites am,nag,s|614150|Entretien des espaces verts et autres sites am,nag,s|NULL|NULL
261|614200 Entretien des ascenseurs |614200|Entretien des ascenseurs |NULL|NULL
262|614300 Entretien des installations ,lectriques, climatiseurs, sanitaires et plomberies |614300|Entretien des installations ,lectriques, climatiseurs, sanitaires et plomberies |NULL|NULL
263|614400 Entretien et maintenance des mobiliers et mat,riels informatiques |614400|Entretien et maintenance des mobiliers et mat,riels informatiques |NULL|NULL
264|614500 Entretien et maintenance des centraux t,l,phoniques, t,l,phones, t,l,copieurs et mat,riel de t,l,communication|614500|Entretien et maintenance des centraux t,l,phoniques, t,l,phones, t,l,copieurs et mat,riel de t,l,communication|NULL|NULL
265|614600 Entretien et maintenance des mobiliers et mat,riels (sauf informatiques) |614600|Entretien et maintenance des mobiliers et mat,riels (sauf informatiques) |NULL|NULL
